season,association_code,country,competition,competition_level,team,league_size,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_game,goal_difference_per_game,ppg_percentile,percentile_basis,table_basis,source,source_ref,source_path,source_git_blob_sha,source_file_sha256
2023-24,ENG,England,Premier League,1,Arsenal FC,20,38,28,5,5,91,29,62,89,2.3421052631578947,1.631578947368421,0.9473684210526315,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Liverpool FC,20,38,24,10,4,86,41,45,82,2.1578947368421053,1.1842105263157894,0.8947368421052632,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Aston Villa FC,20,38,20,8,10,76,61,15,68,1.7894736842105263,0.39473684210526316,0.8421052631578947,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Tottenham Hotspur FC,20,38,20,6,12,74,61,13,66,1.736842105263158,0.34210526315789475,0.7894736842105263,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Chelsea FC,20,38,18,9,11,77,63,14,63,1.6578947368421053,0.3684210526315789,0.7368421052631579,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Newcastle United FC,20,38,18,6,14,85,62,23,60,1.5789473684210527,0.6052631578947368,0.6578947368421053,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Manchester United FC,20,38,18,6,14,57,58,-1,60,1.5789473684210527,-0.02631578947368421,0.6578947368421053,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,West Ham United FC,20,38,14,10,14,60,74,-14,52,1.368421052631579,-0.3684210526315789,0.5789473684210527,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Crystal Palace FC,20,38,13,10,15,57,58,-1,49,1.2894736842105263,-0.02631578947368421,0.5263157894736842,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Brighton & Hove Albion FC,20,38,12,12,14,55,62,-7,48,1.263157894736842,-0.18421052631578946,0.42105263157894735,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Everton FC,20,38,13,9,16,40,51,-11,48,1.263157894736842,-0.2894736842105263,0.42105263157894735,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,AFC Bournemouth,20,38,13,9,16,54,67,-13,48,1.263157894736842,-0.34210526315789475,0.42105263157894735,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Fulham FC,20,38,13,8,17,55,61,-6,47,1.236842105263158,-0.15789473684210525,0.3157894736842105,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Wolverhampton Wanderers FC,20,38,13,7,18,50,65,-15,46,1.2105263157894737,-0.39473684210526316,0.2631578947368421,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Brentford FC,20,38,10,9,19,56,65,-9,39,1.0263157894736843,-0.23684210526315788,0.21052631578947367,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
2023-24,ENG,England,Premier League,1,Nottingham Forest FC,20,38,9,9,20,49,67,-18,36,0.9473684210526315,-0.47368421052631576,0.15789473684210525,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
