event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2022-01159,2022/23,610392,Andrea Poggesi,430,ACF Fiorentina,4255,SS Arezzo,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01160,2022/23,610392,Andrea Poggesi,4515,US Poggibonsi,430,ACF Fiorentina,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01161,2022/23,610395,Andrea Milani,430,ACF Fiorentina,515,Without Club,FREE_AGENT_OR_END_OF_CONTRACT,-,0,OUT
TM-2022-01162,2022/23,610395,Andrea Milani,45894,Monterosi Tuscia FC,430,ACF Fiorentina,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01163,2022/23,610442,Rasmus Højlund,122,SK Sturm Graz,800,Atalanta BC,PERMANENT_OR_OTHER_EXPLICIT,€21.00m,0,IN
TM-2022-01164,2022/23,610881,Christian Acella,44223,AS Giana Erminio,2239,US Cremonese,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01165,2022/23,612059,Edoardo Piana,10959,Udinese Primavera,410,Udinese Calcio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01166,2022/23,612065,Karim Zedadka,172,Royal Charleroi SC,6195,SSC Napoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01167,2022/23,61253,José Callejón,430,ACF Fiorentina,16795,Granada CF,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01168,2022/23,613098,Mattia Poligani,20406,Reggiana Primavera,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01169,2022/23,613098,Mattia Poligani,6574,US Sassuolo,46933,Castelvetro Calcio,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01170,2022/23,613134,Edoardo Operato,6574,US Sassuolo,46933,Castelvetro Calcio,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01171,2022/23,613134,Edoardo Operato,75882,GS Bagnolese,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01172,2022/23,613539,Marco Bertini,12816,Lazio U19,398,SS Lazio,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01173,2022/23,615180,Gaetano Vitale,380,US Salernitana 1919,33734,SS Monopoli 1966,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01174,2022/23,615180,Gaetano Vitale,4167,1913 Seregno Calcio,380,US Salernitana 1919,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01175,2022/23,616162,Alessandro Fontanarosa,5380,Inter Milan Primavera,46,Inter Milan,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01176,2022/23,616169,Duccio Degli Innocenti,8492,Empoli Primavera,749,FC Empoli,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01177,2022/23,616628,Giorgio Cittadini,11998,Atalanta Primavera,800,Atalanta BC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01178,2022/23,616628,Giorgio Cittadini,800,Atalanta BC,1385,Modena FC,LOAN,Loan fee: €150k,0,OUT
TM-2022-01179,2022/23,616631,Matteo Ruggeri,380,US Salernitana 1919,800,Atalanta BC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,1,IN+OUT
TM-2022-01180,2022/23,616638,Alassane Sidibe,11998,Atalanta Primavera,800,Atalanta BC,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
